dt,ts,lat,lng,thoroughfare,place_name
2017-06-29,1498749060878,-8.053651,-34.891963,Rua João Fernandes Viêira,Rodrigo Veículos
2017-06-27,1498590174004,-8.064772,-34.909666,Rua Padre Teófilo Tworz,Fiori
2017-06-19,1497897974100,-8.03398,-34.891623,Avenida Beberibe,Moto Pecas Norte
2017-06-06,1496793026175,-8.044947,-34.880176,"Avenida Norte Miguel Arraes de Alencar, 866 em Santo Amaro",Adelmo Auto Serviços
2017-06-08,1496936266182,-8.159907,-34.913842,Rua Visconde de Jequitinhonha,America Ford
2017-06-12,1497292057113,-8.103304,-34.928125,Avenida Recife,São Paulo Veículos
2017-06-29,1498739097868,-8.027424,-34.917316,"Rua Dona Ana Xavier, 158",Pedragon - Casa Amarela
2017-06-10,1497086375593,-8.044947,-34.880176,"Avenida Norte Miguel Arraes de Alencar, 866 em Santo Amaro",Adelmo Auto Serviços
2017-06-07,1496878158747,-8.058664,-34.939184,Rua Zumbí dos Palmares,as Baterias e So Aqui 
2017-06-17,1497664866859,-8.109176,-34.891565,Avenida Engenheiro Domingos Ferreira,Domingos Ferreira Veículos - Boa Viagem
2017-06-21,1498066735447,-8.090259,-34.907854,Avenida Sul Governador Cid Sampaio,GranVia Ford
2017-06-14,1497404771244,-8.027682,-34.907865,Rua Rodrigues Sete,Marcio José
2017-06-23,1498225696195,-8.110549,-34.912507,"Av Mal. Mascarenhas de Morais, ~3227",Via Norte
2017-06-27,1498565419844,-8.103389,-34.911226,Rua Nápolis,Fiat Italiana - Recife
2017-06-24,1498344261090,-8.067127,-34.91236,Estrada do Bongi,Taiyõ - Mitsubishi
2017-06-17,1497720578407,-8.125268,-34.914833,Avenida Marechal Mascarenhas de Morais,Alto Friso Com
2017-06-26,1498471054930,-8.132367,-34.918388,Rua Desembarque Aeroporto,Pass Garagge
2017-06-16,1497585403553,-8.088361,-34.883915,Avenida Antônio de Goes,Fácil Car
2017-06-29,1498750908334,-8.044527,-34.931747,Avenida Caxangá,Jbs Veiculos
2017-06-21,1498090058421,-8.054308,-34.910576,Rua Reverendo Samuel Falcão,Cristal Comercio de Automoveis - Madalena
2017-06-06,1496772560269,-8.037776,-34.903103,Rua do Futuro,Park Jato (Jaqueira)
2017-06-17,1497739717116,-8.067235,-34.917387,Rua Pio Muniz Farias,Picasso Bernardino D
2017-06-16,1497619550114,-8.11945,-34.912701,Rua Almeida,Shopping do Automóvel de Pernambuco
2017-06-11,1497195014836,-8.046212,-34.897232,Avenida Conselheiro Rosa e Silva,Autobox
2017-06-29,1498759273456,-8.045262,-34.90333,Ponte da Torre - Engenheiro Cândido Pinto de Melo,Toyolex
2017-06-06,1496785875824,-8.094104,-34.888451,Rua Euríco Vitrúvio,V C V Auto Peças
2017-06-29,1498688827119,-8.038974,-34.891209,"Av. Norte Miguel Arraes de Alencar, 2261",Encruzilhada Pneus
2017-06-21,1498061323695,-8.091245,-34.909039,Avenida Pinheiros,JAC Motors
2017-06-06,1496765280784,-8.072987,-34.898078,Rua Catalão,Oficina do Ferreira
2017-06-11,1497119227037,-8.024554,-34.913608,"Rua Romildo Gomes, 2 a em Pina",Moto Pecas Norte
2017-06-08,1496928438513,-8.069673,-34.944197,Rua Jundiaí,Sucata do Galego
2017-06-25,1498392818635,-8.131805,-34.918168,Rua Desembarque Aeroporto,Pass Garagge
2017-06-28,1498648574592,-8.121166,-34.904461,Rua Bruno Veloso,Multi Ambiental
2017-06-28,1498683165049,-8.110415,-34.946355,Rodovia Governador Mário Covas,Pass Garagge
2017-06-11,1497142752560,-8.053564,-34.920058,Rua Gregório Júnior,Pra Fiat
2017-06-12,1497298059155,-8.062138,-34.910244,Avenida Engenheiro Abdias de Carvalho,Honda Abdias De Carvalho
2017-06-19,1497870741154,-8.045854,-34.930214,Avenida Inácio Monteiro,Stilo Pecas e Servic
2017-06-23,1498226343326,-8.03849,-34.878897,"Rua Pereira Passos, 393 em Campo Grande",Agamenon Peças Usadas
2017-06-10,1497106824632,-8.118801,-34.899171,"Rua Francisco Cunha, 1340 em Boa Viagem",Mar Veiculos
2017-06-12,1497280638560,-8.072236,-34.897361,Rua Jaraguari,Oficina do Ferreira
2017-06-09,1497030649514,-8.026956,-34.917064,Estrada do Arraial,Pedragon - Casa Amarela
2017-06-25,1497366836530,-8.078682,-34.892589,"Rua Capitão Temudo, 266 em Cabanga",Meio Fio Veículos
2017-06-15,1497499979319,-8.030702,-34.94139,Rua Aristõnico Oliveira,Modificar Veículos Especiais
2017-06-24,1498334107066,-8.038516,-34.942871,Avenida Caxangá,Granvia Ford - Caxangá
2017-06-11,1497218439262,-8.125026,-34.89887,"Rua Ernesto de Paula Santos, 187",Mar Veiculos
2017-06-26,1498501103005,-8.039076,-34.890182,Avenida Norte Miguel Arraes de Alencar,Renault Regence
2017-06-20,1497954207673,-8.0534,-34.906012,Rua José Osório,Disbrave Veículos
2017-06-15,1497550929434,-8.108193,-34.911301,Rua Conde Pereira Carneiro,Troller
2017-06-12,1497279869968,-8.044947,-34.880176,Avenida Norte Miguel Arraes de Alencar,Adelmo Auto Serviços
2017-06-23,1498221003584,-8.036602,-34.947281,Rua Caxangá Ágape,Italiana
2017-06-27,1498537522895,-8.132572,-34.918324,Rua Desembarque Aeroporto,Pass Garagge
2017-06-19,1497877172738,-8.110532,-34.912583,Avenida Marechal Mascarenhas de Morais,Nissan Eurovia
